Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
AMOSA_PC_190kW,208,0.365428,0.071631,0.167326,0.008969,29,29,0,8469
AMOSA_PC_190kW,209,0.341777,0.070882,0.193260,0.009596,27,27,0,8439
AMOSA_PC_190kW,MEAN,0.367997,0.084108,0.180022,0.009653,29,29,0,8428
AMOSA_PC_190kW,STDDEV,0.018469,0.018045,0.012969,0.002017,,,,
AMOSA_PC_120kW,200,0.153893,0.377093,0.490574,0.000000,1,1,0,8303
AMOSA_PC_120kW,201,0.144691,0.334810,0.418723,0.000000,1,1,0,8322
AMOSA_PC_120kW,202,0.070306,0.538249,0.589628,0.000000,1,1,0,8246
AMOSA_PC_120kW,203,0.111298,0.446982,0.493757,0.000000,2,2,0,8346
AMOSA_PC_120kW,204,0.078257,0.485126,0.545617,0.000000,1,1,0,8351
AMOSA_PC_120kW,205,0.132210,0.392164,0.465820,0.000000,1,1,0,8377
AMOSA_PC_120kW,206,0.139074,0.404493,0.533483,0.000000,1,1,0,8340
AMOSA_PC_120kW,207,0.125189,0.402682,0.474328,0.000000,1,1,0,8339
AMOSA_PC_120kW,208,0.142470,0.354662,0.435116,0.000000,1,1,0,8362
AMOSA_PC_120kW,209,0.137895,0.392067,0.467381,0.000000,1,1,0,8310
AMOSA_PC_120kW,MEAN,0.123528,0.412833,0.491443,0.000000,1,1,0,8329
AMOSA_PC_120kW,STDDEV,0.026994,0.058225,0.049334,0.000000,,,,
GA_WaitingTime_Dominance_PC_190kW,200,0.013611,0.253469,0.482597,0.000000,1,1,0,6832
GA_WaitingTime_Dominance_PC_190kW,201,0.000000,0.304157,0.523706,0.000000,1,1,0,6779
GA_WaitingTime_Dominance_PC_190kW,202,0.000000,0.417071,0.596415,0.000000,1,1,0,6782
GA_WaitingTime_Dominance_PC_190kW,203,0.008251,0.398524,0.559712,0.000000,1,1,0,6796
GA_WaitingTime_Dominance_PC_190kW,204,0.000000,0.201618,0.485910,0.000000,1,1,0,6797
GA_WaitingTime_Dominance_PC_190kW,205,0.035509,0.341009,0.500903,0.000000,1,1,0,6792
GA_WaitingTime_Dominance_PC_190kW,206,0.011909,0.252993,0.484026,0.000000,1,1,0,6763
GA_WaitingTime_Dominance_PC_190kW,207,0.000000,0.352525,0.551808,0.000000,1,1,0,6742
GA_WaitingTime_Dominance_PC_190kW,208,0.202733,0.113165,0.293304,0.000000,1,1,0,6783
GA_WaitingTime_Dominance_PC_190kW,209,0.000000,0.371932,0.572319,0.000000,1,1,0,6790
GA_WaitingTime_Dominance_PC_190kW,MEAN,0.027201,0.300646,0.505070,0.000000,1,1,0,6785
GA_WaitingTime_Dominance_PC_190kW,STDDEV,0.059462,0.090555,0.080350,0.000000,,,,
GA_WaitingTime_Dominance_PC_120kW,200,0.013611,0.253469,0.482597,0.000000,1,1,0,6798
GA_WaitingTime_Dominance_PC_120kW,201,0.000000,0.304157,0.523706,0.000000,1,1,0,6800
GA_WaitingTime_Dominance_PC_120kW,202,0.000000,0.417071,0.596415,0.000000,1,1,0,6838
GA_WaitingTime_Dominance_PC_120kW,203,0.008251,0.398524,0.559712,0.000000,1,1,0,6811
GA_WaitingTime_Dominance_PC_120kW,204,0.000000,0.201618,0.485910,0.000000,1,1,0,6806
GA_WaitingTime_Dominance_PC_120kW,205,0.035509,0.341009,0.500903,0.000000,1,1,0,6787
GA_WaitingTime_Dominance_PC_120kW,206,0.011909,0.252993,0.484026,0.000000,1,1,0,6812
GA_WaitingTime_Dominance_PC_120kW,207,0.000000,0.352525,0.551808,0.000000,1,1,0,6827
GA_WaitingTime_Dominance_PC_120kW,208,0.202733,0.113165,0.293304,0.000000,1,1,0,6722
GA_WaitingTime_Dominance_PC_120kW,209,0.000000,0.371932,0.572319,0.000000,1,1,0,6805
GA_WaitingTime_Dominance_PC_120kW,MEAN,0.027201,0.300646,0.505070,0.000000,1,1,0,6800
GA_WaitingTime_Dominance_PC_120kW,STDDEV,0.059462,0.090555,0.080350,0.000000,,,,
GA_Energy_Dominance_PC_190kW,200,0.595290,0.155620,0.188618,0.009525,63,63,0,5862
GA_Energy_Dominance_PC_190kW,201,0.602270,0.165039,0.169772,0.019777,50,50,0,5846
GA_Energy_Dominance_PC_190kW,202,0.592626,0.156485,0.177280,0.013932,62,62,0,5939
GA_Energy_Dominance_PC_190kW,203,0.591870,0.192016,0.173548,0.009710,58,58,0,5887
GA_Energy_Dominance_PC_190kW,204,0.575918,0.196644,0.172680,0.020222,48,48,0,5888
GA_Energy_Dominance_PC_190kW,205,0.621951,0.170754,0.140558,0.017034,57,57,0,5898
GA_Energy_Dominance_PC_190kW,206,0.595657,0.191005,0.159561,0.016237,59,59,0,5775
GA_Energy_Dominance_PC_190kW,207,0.595517,0.166354,0.175720,0.009957,49,49,0,5984
GA_Energy_Dominance_PC_190kW,208,0.617888,0.168879,0.149354,0.013416,43,43,0,5824
GA_Energy_Dominance_PC_190kW,209,0.587583,0.157150,0.176428,0.025392,44,44,0,5832
GA_Energy_Dominance_PC_190kW,MEAN,0.597657,0.171995,0.168352,0.015520,53,53,0,5873
GA_Energy_Dominance_PC_190kW,STDDEV,0.012914,0.014800,0.013669,0.004981,,,,
GA_Energy_Dominance_PC_120kW,200,0.341262,0.134453,0.642568,0.011668,27,27,0,5817
GA_Energy_Dominance_PC_120kW,201,0.332306,0.181202,0.642809,0.012688,29,29,0,5795
GA_Energy_Dominance_PC_120kW,202,0.357751,0.149967,0.632866,0.009983,28,28,0,5837
GA_Energy_Dominance_PC_120kW,203,0.377171,0.242940,0.571695,0.010891,30,30,0,5823
GA_Energy_Dominance_PC_120kW,204,0.349963,0.218791,0.636219,0.012433,18,18,0,5831
GA_Energy_Dominance_PC_120kW,205,0.362979,0.226121,0.622297,0.007725,22,22,0,5767
GA_Energy_Dominance_PC_120kW,206,0.367940,0.236533,0.577952,0.009400,33,33,0,5776
GA_Energy_Dominance_PC_120kW,207,0.352954,0.203213,0.606555,0.016957,19,19,0,5969
GA_Energy_Dominance_PC_120kW,208,0.350914,0.216879,0.675407,0.006563,16,16,0,5881
GA_Energy_Dominance_PC_120kW,209,0.363692,0.152158,0.605717,0.016891,19,19,0,5843
GA_Energy_Dominance_PC_120kW,MEAN,0.355693,0.196226,0.621409,0.011520,24,24,0,5833
GA_Energy_Dominance_PC_120kW,STDDEV,0.012454,0.037160,0.030000,0.003269,,,,
SA_WaitingTime_Dominance_PC_190kW,200,0.180249,0.069630,0.301372,0.000000,1,3,0,5155
SA_WaitingTime_Dominance_PC_190kW,201,0.076381,0.200690,0.404227,0.000000,1,1,0,5001
SA_WaitingTime_Dominance_PC_190kW,202,0.090457,0.083093,0.369219,0.000000,1,1,0,5317
SA_WaitingTime_Dominance_PC_190kW,203,0.000000,0.174321,0.488611,0.000000,1,1,0,5236
SA_WaitingTime_Dominance_PC_190kW,204,0.000000,0.210086,0.516702,0.000000,1,1,0,5165
SA_WaitingTime_Dominance_PC_190kW,205,0.099104,0.096511,0.362550,0.000000,2,2,0,5233
SA_WaitingTime_Dominance_PC_190kW,206,0.000000,0.148694,0.476126,0.000000,1,1,0,4982
SA_WaitingTime_Dominance_PC_190kW,207,0.240485,0.063304,0.267530,0.002317,3,3,0,5247
SA_WaitingTime_Dominance_PC_190kW,208,0.077559,0.097725,0.381668,0.000000,1,2,0,5110
SA_WaitingTime_Dominance_PC_190kW,209,0.251863,0.048482,0.262937,0.000000,1,1,0,5176
SA_WaitingTime_Dominance_PC_190kW,MEAN,0.101610,0.119254,0.383094,0.000232,1,2,0,5162
SA_WaitingTime_Dominance_PC_190kW,STDDEV,0.089647,0.056277,0.085542,0.000695,,,,
SA_WaitingTime_Dominance_PC_120kW,200,0.180249,0.069630,0.301372,0.000000,1,3,0,5168
SA_WaitingTime_Dominance_PC_120kW,201,0.076381,0.200690,0.404227,0.000000,1,1,0,4984
SA_WaitingTime_Dominance_PC_120kW,202,0.090457,0.083093,0.369219,0.000000,1,1,0,5317
SA_WaitingTime_Dominance_PC_120kW,203,0.000000,0.174321,0.488611,0.000000,1,1,0,5234
SA_WaitingTime_Dominance_PC_120kW,204,0.000000,0.210086,0.516702,0.000000,1,1,0,5169
SA_WaitingTime_Dominance_PC_120kW,205,0.099104,0.096511,0.362550,0.000000,2,2,0,5245
SA_WaitingTime_Dominance_PC_120kW,206,0.000000,0.148694,0.476126,0.000000,1,1,0,4961
SA_WaitingTime_Dominance_PC_120kW,207,0.240485,0.063304,0.267530,0.002317,3,3,0,5209
SA_WaitingTime_Dominance_PC_120kW,208,0.077559,0.097725,0.381668,0.000000,1,2,0,5094
