Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
2,GPU_Stress,NSGA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,185,185
2,GPU_Stress,NSGA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,185,185
2,GPU_Stress,SPEA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,422,422
2,GPU_Stress,SPEA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,422,422
2,GPU_Stress,SPEA-II_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,422,0
2,GPU_Stress,SPEA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,148,148
2,GPU_Stress,SPEA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,148,148
2,GPU_Stress,SPEA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,148,148
2,GPU_Stress,AMOSA_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,293,293
2,GPU_Stress,AMOSA_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,293,293
2,GPU_Stress,AMOSA_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,293,0
2,GPU_Stress,AMOSA_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,11,11
2,GPU_Stress,AMOSA_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,11,11
2,GPU_Stress,AMOSA_PC_120kW,120000.0,10,0.1000,0.3162,0.0000,1.0000,11,2
2,GPU_Stress,GA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,GA_WaitingTime_Dominance_PC_190kW,190000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
2,GPU_Stress,GA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
2,GPU_Stress,GA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,GA_WaitingTime_Dominance_PC_120kW,190000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
2,GPU_Stress,GA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
2,GPU_Stress,GA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,533,533
2,GPU_Stress,GA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,533,533
2,GPU_Stress,GA_Energy_Dominance_PC_190kW,120000.0,10,0.3848,0.0673,0.3061,0.5400,533,206
2,GPU_Stress,GA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,241,241
2,GPU_Stress,GA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,241,241
2,GPU_Stress,GA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,241,241
2,GPU_Stress,SA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,16,16
2,GPU_Stress,SA_WaitingTime_Dominance_PC_190kW,190000.0,10,0.0000,0.0000,0.0000,0.0000,16,0
2,GPU_Stress,SA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,16,0
2,GPU_Stress,SA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,16,16
2,GPU_Stress,SA_WaitingTime_Dominance_PC_120kW,190000.0,10,0.0000,0.0000,0.0000,0.0000,16,0
2,GPU_Stress,SA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,16,0
2,GPU_Stress,SA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,112,112
2,GPU_Stress,SA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,112,112
2,GPU_Stress,SA_Energy_Dominance_PC_190kW,120000.0,10,0.6497,0.1725,0.4500,0.8889,112,68
2,GPU_Stress,SA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,68,68
2,GPU_Stress,SA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,68,68
2,GPU_Stress,SA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,68,68
2,GPU_Stress,WorkloadAware_Admission_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,WorkloadAware_Admission_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,WorkloadAware_Admission_PC_190kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,WorkloadAware_Admission_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,WorkloadAware_Admission_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
2,GPU_Stress,WorkloadAware_Admission_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,GA_WaitingTime_Dominance,220000.0,10,0.9659,0.0351,0.9032,1.0000,265,256
3,CPU_Stress,GA_WaitingTime_Dominance,190000.0,10,0.0335,0.0393,0.0000,0.1000,265,9
3,CPU_Stress,GA_WaitingTime_Dominance,120000.0,10,0.0000,0.0000,0.0000,0.0000,265,0
3,CPU_Stress,GA_Energy_Dominance,220000.0,10,1.0000,0.0000,1.0000,1.0000,635,635
3,CPU_Stress,GA_Energy_Dominance,190000.0,10,1.0000,0.0000,1.0000,1.0000,635,635
3,CPU_Stress,GA_Energy_Dominance,120000.0,10,0.8795,0.0334,0.8068,0.9143,635,557
3,CPU_Stress,SA_WaitingTime_Dominance,220000.0,10,0.9809,0.0265,0.9286,1.0000,208,204
3,CPU_Stress,SA_WaitingTime_Dominance,190000.0,10,0.0158,0.0398,0.0000,0.1250,208,3
3,CPU_Stress,SA_WaitingTime_Dominance,120000.0,10,0.0000,0.0000,0.0000,0.0000,208,0
3,CPU_Stress,SA_Energy_Dominance,220000.0,10,1.0000,0.0000,1.0000,1.0000,286,286
3,CPU_Stress,SA_Energy_Dominance,190000.0,10,1.0000,0.0000,1.0000,1.0000,286,286
3,CPU_Stress,SA_Energy_Dominance,120000.0,10,0.4440,0.1466,0.2500,0.6667,286,125
3,CPU_Stress,NSGA-II,220000.0,10,0.9939,0.0100,0.9750,1.0000,473,470
3,CPU_Stress,NSGA-II,190000.0,10,0.8463,0.0822,0.7458,1.0000,473,396
3,CPU_Stress,NSGA-II,120000.0,10,0.3233,0.0885,0.2059,0.4643,473,156
3,CPU_Stress,SPEA-II,220000.0,10,0.9876,0.0204,0.9362,1.0000,488,482
3,CPU_Stress,SPEA-II,190000.0,10,0.8061,0.0769,0.7021,0.9730,488,392
3,CPU_Stress,SPEA-II,120000.0,10,0.3228,0.0923,0.1489,0.4565,488,158
3,CPU_Stress,AMOSA,220000.0,10,0.9863,0.0315,0.9048,1.0000,215,212
3,CPU_Stress,AMOSA,190000.0,10,0.7284,0.0806,0.6000,0.8500,215,157
3,CPU_Stress,AMOSA,120000.0,10,0.0686,0.0810,0.0000,0.2727,215,15
3,CPU_Stress,NSGA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,425,425
3,CPU_Stress,NSGA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,425,425
3,CPU_Stress,NSGA-II_PC_190kW,120000.0,10,0.4336,0.0867,0.2895,0.5745,425,186
3,CPU_Stress,NSGA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,287,287
3,CPU_Stress,NSGA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,287,287
3,CPU_Stress,NSGA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,287,287
3,CPU_Stress,SPEA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,456,456
3,CPU_Stress,SPEA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,456,456
3,CPU_Stress,SPEA-II_PC_190kW,120000.0,10,0.3939,0.0905,0.2600,0.5714,456,178
3,CPU_Stress,SPEA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,295,295
3,CPU_Stress,SPEA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,295,295
3,CPU_Stress,SPEA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,295,295
3,CPU_Stress,AMOSA_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,182,182
3,CPU_Stress,AMOSA_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,182,182
3,CPU_Stress,AMOSA_PC_190kW,120000.0,10,0.0790,0.1385,0.0000,0.4211,182,15
3,CPU_Stress,AMOSA_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,205,205
3,CPU_Stress,AMOSA_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,205,205
3,CPU_Stress,AMOSA_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,205,205
3,CPU_Stress,GA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,118,118
3,CPU_Stress,GA_WaitingTime_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,118,118
3,CPU_Stress,GA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,118,0
3,CPU_Stress,GA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,GA_WaitingTime_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,GA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
3,CPU_Stress,GA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,635,635
3,CPU_Stress,GA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,635,635
3,CPU_Stress,GA_Energy_Dominance_PC_190kW,120000.0,10,0.8795,0.0334,0.8068,0.9143,635,557
3,CPU_Stress,GA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,612,612
3,CPU_Stress,GA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,612,612
3,CPU_Stress,GA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,612,612
3,CPU_Stress,SA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,67,67
3,CPU_Stress,SA_WaitingTime_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,67,67
3,CPU_Stress,SA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,67,0
3,CPU_Stress,SA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,13,13
3,CPU_Stress,SA_WaitingTime_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,13,13
3,CPU_Stress,SA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,13,0
3,CPU_Stress,SA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,286,286
3,CPU_Stress,SA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,286,286
3,CPU_Stress,SA_Energy_Dominance_PC_190kW,120000.0,10,0.4440,0.1466,0.2500,0.6667,286,125
3,CPU_Stress,SA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,155,155
3,CPU_Stress,SA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,155,155
3,CPU_Stress,SA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,155,155
3,CPU_Stress,WorkloadAware_Admission_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,WorkloadAware_Admission_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,WorkloadAware_Admission_PC_190kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,WorkloadAware_Admission_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,WorkloadAware_Admission_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
3,CPU_Stress,WorkloadAware_Admission_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
