Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,NSGA-II_PC_190kW,205,120000.0,50,0,0.0000,189890.156
1,Balanced,NSGA-II_PC_190kW,206,220000.0,47,47,1.0000,187801.003
1,Balanced,NSGA-II_PC_190kW,206,190000.0,47,47,1.0000,187801.003
1,Balanced,NSGA-II_PC_190kW,206,120000.0,47,0,0.0000,187801.003
1,Balanced,NSGA-II_PC_190kW,207,220000.0,38,38,1.0000,185776.243
1,Balanced,NSGA-II_PC_190kW,207,190000.0,38,38,1.0000,185776.243
1,Balanced,NSGA-II_PC_190kW,207,120000.0,38,0,0.0000,185776.243
1,Balanced,NSGA-II_PC_190kW,208,220000.0,43,43,1.0000,189231.253
1,Balanced,NSGA-II_PC_190kW,208,190000.0,43,43,1.0000,189231.253
1,Balanced,NSGA-II_PC_190kW,208,120000.0,43,0,0.0000,189231.253
1,Balanced,NSGA-II_PC_190kW,209,220000.0,38,38,1.0000,187349.687
1,Balanced,NSGA-II_PC_190kW,209,190000.0,38,38,1.0000,187349.687
1,Balanced,NSGA-II_PC_190kW,209,120000.0,38,0,0.0000,187349.687
1,Balanced,NSGA-II_PC_120kW,200,220000.0,19,19,1.0000,119112.503
1,Balanced,NSGA-II_PC_120kW,200,190000.0,19,19,1.0000,119112.503
1,Balanced,NSGA-II_PC_120kW,200,120000.0,19,19,1.0000,119112.503
1,Balanced,NSGA-II_PC_120kW,201,220000.0,18,18,1.0000,119980.355
1,Balanced,NSGA-II_PC_120kW,201,190000.0,18,18,1.0000,119980.355
1,Balanced,NSGA-II_PC_120kW,201,120000.0,18,18,1.0000,119980.355
1,Balanced,NSGA-II_PC_120kW,202,220000.0,16,16,1.0000,118777.677
1,Balanced,NSGA-II_PC_120kW,202,190000.0,16,16,1.0000,118777.677
1,Balanced,NSGA-II_PC_120kW,202,120000.0,16,16,1.0000,118777.677
1,Balanced,NSGA-II_PC_120kW,203,220000.0,16,16,1.0000,118831.809
1,Balanced,NSGA-II_PC_120kW,203,190000.0,16,16,1.0000,118831.809
1,Balanced,NSGA-II_PC_120kW,203,120000.0,16,16,1.0000,118831.809
1,Balanced,NSGA-II_PC_120kW,204,220000.0,16,16,1.0000,119670.432
1,Balanced,NSGA-II_PC_120kW,204,190000.0,16,16,1.0000,119670.432
1,Balanced,NSGA-II_PC_120kW,204,120000.0,16,16,1.0000,119670.432
1,Balanced,NSGA-II_PC_120kW,205,220000.0,20,20,1.0000,119912.248
1,Balanced,NSGA-II_PC_120kW,205,190000.0,20,20,1.0000,119912.248
1,Balanced,NSGA-II_PC_120kW,205,120000.0,20,20,1.0000,119912.248
1,Balanced,NSGA-II_PC_120kW,206,220000.0,18,18,1.0000,118715.814
