CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
PC90,15114.454,AMOSA,208,0.317932,0.070693,0.367451,0.008628,12,12,0,21407,0.376485,
PC90,15114.454,AMOSA,209,0.337072,0.071243,0.347100,0.007046,19,19,0,21628,0.394242,
PC90,15114.454,AMOSA,MEAN,0.319611,0.093525,0.353499,0.008009,15,15,0,21522,0.378024,10
PC90,15114.454,AMOSA,STDDEV,0.016589,0.020197,0.013869,0.002685,,,,,0.015300,
PC90,15114.454,Universal_Pareto,ALL,0.754355,0.000000,0.000000,0.000000,150,150,150,0,0.805551,
PC80,13435.070,GA_WaitingTime_Dominance,200,0.032280,0.170337,0.551832,0.025064,11,11,0,16826,0.203165,
PC80,13435.070,GA_WaitingTime_Dominance,201,0.106122,0.022054,0.548856,0.002399,13,13,0,17114,0.274712,
PC80,13435.070,GA_WaitingTime_Dominance,202,0.062073,0.209310,0.514013,0.016100,8,8,0,16163,0.227793,
PC80,13435.070,GA_WaitingTime_Dominance,203,0.067368,0.026466,0.578961,0.001513,9,9,0,16756,0.243991,
PC80,13435.070,GA_WaitingTime_Dominance,204,0.112959,0.018470,0.540142,0.004716,8,8,1,16207,0.279978,
PC80,13435.070,GA_WaitingTime_Dominance,205,0.096207,0.106614,0.483973,0.095104,14,14,0,15960,0.248828,
PC80,13435.070,GA_WaitingTime_Dominance,206,0.049171,0.044516,0.589920,0.007454,6,6,0,16836,0.219716,
PC80,13435.070,GA_WaitingTime_Dominance,207,0.069198,0.106030,0.530759,0.034829,18,18,0,15856,0.212017,
PC80,13435.070,GA_WaitingTime_Dominance,208,0.069082,0.069153,0.541532,0.012180,12,12,0,16238,0.232520,
PC80,13435.070,GA_WaitingTime_Dominance,209,0.109356,0.009370,0.547561,0.005612,5,5,2,16390,0.277651,
PC80,13435.070,GA_WaitingTime_Dominance,MEAN,0.077381,0.078232,0.542755,0.020497,10,10,3,16434,0.242037,10
PC80,13435.070,GA_WaitingTime_Dominance,STDDEV,0.026017,0.065277,0.028481,0.026851,,,,,0.026513,
PC80,13435.070,GA_Energy_Dominance,200,0.261822,0.353516,0.392056,0.010118,42,42,0,16433,0.491409,
PC80,13435.070,GA_Energy_Dominance,201,0.342538,0.227497,0.371027,0.010799,63,63,0,16385,0.512496,
PC80,13435.070,GA_Energy_Dominance,202,0.473999,0.130690,0.208540,0.005318,60,60,13,16062,0.644348,
PC80,13435.070,GA_Energy_Dominance,203,0.228041,0.433571,0.520114,0.015797,49,49,0,16181,0.311097,
PC80,13435.070,GA_Energy_Dominance,204,0.442138,0.161486,0.240327,0.003788,82,82,0,15778,0.637187,
PC80,13435.070,GA_Energy_Dominance,205,0.288662,0.319572,0.409550,0.007383,70,70,0,16120,0.465040,
PC80,13435.070,GA_Energy_Dominance,206,0.339439,0.279127,0.349346,0.010916,67,67,0,15872,0.525301,
PC80,13435.070,GA_Energy_Dominance,207,0.181060,0.311090,0.473258,0.050294,35,35,0,16684,0.459526,
PC80,13435.070,GA_Energy_Dominance,208,0.480666,0.142503,0.184778,0.011651,50,50,5,15448,0.692796,
PC80,13435.070,GA_Energy_Dominance,209,0.464614,0.131719,0.206284,0.014134,70,70,3,15771,0.681136,
PC80,13435.070,GA_Energy_Dominance,MEAN,0.350298,0.249077,0.335528,0.014020,59,59,21,16073,0.542034,10
PC80,13435.070,GA_Energy_Dominance,STDDEV,0.104496,0.100969,0.113042,0.012587,,,,,0.114623,
PC80,13435.070,SA_WaitingTime_Dominance,200,0.166451,0.060430,0.447610,0.006968,14,14,0,13474,0.310915,
PC80,13435.070,SA_WaitingTime_Dominance,201,0.111430,0.116606,0.480607,0.004983,21,21,0,13182,0.278261,
PC80,13435.070,SA_WaitingTime_Dominance,202,0.089537,0.032191,0.502966,0.070285,22,22,0,13237,0.239615,
