Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,PeakPower_Min,PeakPower_Mean
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,MEAN,0.059962,0.424028,0.555352,0.000000,,0,6574,5.356000,0.608027160,175193.069,178258.581
1,Balanced,GA_Energy_Dominance_PC_190kW,200,0.633777,0.119540,0.140825,0.010689,64,0,6183,5.528000,0.235761881,49830.794,112016.397
1,Balanced,GA_Energy_Dominance_PC_190kW,201,0.655778,0.114495,0.130614,0.012652,72,0,6190,5.620000,0.240875138,41461.615,113572.110
1,Balanced,GA_Energy_Dominance_PC_190kW,202,0.606198,0.124133,0.154204,0.010652,65,0,6106,5.932000,0.238161662,42724.605,122701.634
1,Balanced,GA_Energy_Dominance_PC_190kW,203,0.612082,0.129932,0.141735,0.019529,53,0,6086,5.554000,0.240414529,44362.003,117390.866
1,Balanced,GA_Energy_Dominance_PC_190kW,204,0.630509,0.133160,0.141973,0.017332,69,0,6071,5.564000,0.245840069,38587.503,111950.053
1,Balanced,GA_Energy_Dominance_PC_190kW,205,0.645461,0.119767,0.128468,0.013119,60,0,6087,5.584000,0.235488199,46068.177,122258.831
1,Balanced,GA_Energy_Dominance_PC_190kW,206,0.636126,0.135713,0.142661,0.015641,62,0,6116,5.626000,0.239480967,53737.120,115793.989
1,Balanced,GA_Energy_Dominance_PC_190kW,207,0.629666,0.113688,0.134063,0.011330,65,0,5976,5.498000,0.233496194,42565.268,127660.435
1,Balanced,GA_Energy_Dominance_PC_190kW,208,0.626549,0.130161,0.134851,0.017485,83,0,6080,5.490000,0.241666513,42577.467,114015.711
1,Balanced,GA_Energy_Dominance_PC_190kW,209,0.598666,0.140823,0.156315,0.015632,55,0,6000,5.708000,0.242075049,50342.243,122815.670
1,Balanced,GA_Energy_Dominance_PC_190kW,MEAN,0.627481,0.126141,0.140571,0.014406,,0,6089,5.490000,0.233496194,38587.503,117745.322
1,Balanced,GA_Energy_Dominance_PC_120kW,200,0.421557,0.127369,0.517198,0.008242,42,0,6120,9.964000,0.235761881,49830.794,80541.850
1,Balanced,GA_Energy_Dominance_PC_120kW,201,0.437703,0.134126,0.461840,0.010592,45,0,6092,10.038000,0.240875138,41461.615,82066.615
1,Balanced,GA_Energy_Dominance_PC_120kW,202,0.354771,0.103131,0.583109,0.009910,30,0,6066,10.720000,0.238161662,42724.605,73279.309
1,Balanced,GA_Energy_Dominance_PC_120kW,203,0.396441,0.151145,0.483548,0.010487,31,0,6070,9.398000,0.240414529,44362.003,84155.369
1,Balanced,GA_Energy_Dominance_PC_120kW,204,0.444614,0.127822,0.481043,0.014777,39,0,6034,9.424000,0.245840069,38587.503,79906.648
1,Balanced,GA_Energy_Dominance_PC_120kW,205,0.425305,0.132034,0.478945,0.015324,33,0,6130,9.978000,0.235488199,46068.177,80847.744
1,Balanced,GA_Energy_Dominance_PC_120kW,206,0.482428,0.153199,0.455950,0.017507,39,0,6115,8.842000,0.239480967,53737.120,82415.994
1,Balanced,GA_Energy_Dominance_PC_120kW,207,0.408937,0.099699,0.533382,0.018482,28,0,6043,9.918000,0.233496194,42565.268,75774.016
1,Balanced,GA_Energy_Dominance_PC_120kW,208,0.383914,0.145180,0.527111,0.010578,47,0,6180,10.068000,0.241666513,42577.467,81342.417
1,Balanced,GA_Energy_Dominance_PC_120kW,209,0.385585,0.143120,0.539580,0.010794,29,0,6048,10.054000,0.242075049,50342.243,84039.626
1,Balanced,GA_Energy_Dominance_PC_120kW,MEAN,0.414125,0.131683,0.506171,0.012669,,0,6089,8.842000,0.233496194,38587.503,80615.496
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,200,0.028779,0.178639,0.468934,0.000000,1,0,5247,5.902000,0.709794630,191425.574,191425.574
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,201,0.031254,0.138750,0.460679,0.000000,1,0,5452,5.508000,0.709176358,192934.549,192934.549
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,202,0.345918,0.012797,0.233160,0.000000,1,0,5389,4.896000,0.537162202,198092.911,198092.911
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,203,0.167977,0.084422,0.331275,0.000000,1,0,5344,5.266000,0.631157627,194079.717,194079.717
