Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_Energy_Dominance_PC80,201,98,0.833242,0,0.000000
GA_Energy_Dominance_PC80,202,132,0.847837,16,12.121212
GA_Energy_Dominance_PC80,203,101,0.824075,0,0.000000
GA_Energy_Dominance_PC80,204,113,0.843640,0,0.000000
GA_Energy_Dominance_PC80,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC80,206,130,0.842510,0,0.000000
GA_Energy_Dominance_PC80,207,120,0.804333,0,0.000000
GA_Energy_Dominance_PC80,208,115,0.798808,5,4.347826
GA_Energy_Dominance_PC80,209,113,0.824576,0,0.000000
GA_Energy_Dominance_PC80,MEAN,,,2.100000,1.646904
GA_Energy_Dominance_PC80,STDDEV,,,4.867237,3.724305
SA_WaitingTime_Dominance_PC80,200,120,0.811514,2,1.666667
SA_WaitingTime_Dominance_PC80,201,98,0.833242,6,6.122449
SA_WaitingTime_Dominance_PC80,202,132,0.847837,3,2.272727
SA_WaitingTime_Dominance_PC80,203,101,0.824075,6,5.940594
SA_WaitingTime_Dominance_PC80,204,113,0.843640,2,1.769912
SA_WaitingTime_Dominance_PC80,205,95,0.787543,8,8.421053
SA_WaitingTime_Dominance_PC80,206,130,0.842510,3,2.307692
SA_WaitingTime_Dominance_PC80,207,120,0.804333,9,7.500000
SA_WaitingTime_Dominance_PC80,208,115,0.798808,14,12.173913
SA_WaitingTime_Dominance_PC80,209,113,0.824576,16,14.159292
SA_WaitingTime_Dominance_PC80,MEAN,,,6.900000,6.233430
SA_WaitingTime_Dominance_PC80,STDDEV,,,4.678675,4.200875
SA_Energy_Dominance_PC80,200,120,0.811514,0,0.000000
SA_Energy_Dominance_PC80,201,98,0.833242,2,2.040816
SA_Energy_Dominance_PC80,202,132,0.847837,0,0.000000
SA_Energy_Dominance_PC80,203,101,0.824075,0,0.000000
SA_Energy_Dominance_PC80,204,113,0.843640,4,3.539823
SA_Energy_Dominance_PC80,205,95,0.787543,1,1.052632
SA_Energy_Dominance_PC80,206,130,0.842510,0,0.000000
SA_Energy_Dominance_PC80,207,120,0.804333,0,0.000000
SA_Energy_Dominance_PC80,208,115,0.798808,0,0.000000
SA_Energy_Dominance_PC80,209,113,0.824576,0,0.000000
SA_Energy_Dominance_PC80,MEAN,,,0.700000,0.663327
SA_Energy_Dominance_PC80,STDDEV,,,1.268858,1.157725
NSGA-II_PC80,200,120,0.811514,4,3.333333
NSGA-II_PC80,201,98,0.833242,0,0.000000
NSGA-II_PC80,202,132,0.847837,0,0.000000
NSGA-II_PC80,203,101,0.824075,0,0.000000
NSGA-II_PC80,204,113,0.843640,0,0.000000
NSGA-II_PC80,205,95,0.787543,0,0.000000
NSGA-II_PC80,206,130,0.842510,0,0.000000
NSGA-II_PC80,207,120,0.804333,0,0.000000
NSGA-II_PC80,208,115,0.798808,0,0.000000
NSGA-II_PC80,209,113,0.824576,8,7.079646
NSGA-II_PC80,MEAN,,,1.200000,1.041298
NSGA-II_PC80,STDDEV,,,2.561250,2.244760
SPEA-II_PC80,200,120,0.811514,0,0.000000
SPEA-II_PC80,201,98,0.833242,0,0.000000
SPEA-II_PC80,202,132,0.847837,0,0.000000
SPEA-II_PC80,203,101,0.824075,0,0.000000
SPEA-II_PC80,204,113,0.843640,0,0.000000
SPEA-II_PC80,205,95,0.787543,0,0.000000
SPEA-II_PC80,206,130,0.842510,0,0.000000
SPEA-II_PC80,207,120,0.804333,0,0.000000
SPEA-II_PC80,208,115,0.798808,6,5.217391
