Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,SPEA-II_PC80,200,0.353043,0.064199,0.352893,0.002485,38,0,12765,3.102000,0.058569233,
1,Balanced,SPEA-II_PC80,201,0.286344,0.010951,0.438789,0.009065,14,0,11944,2.768000,0.060130283,
1,Balanced,SPEA-II_PC80,202,0.313880,0.013733,0.419778,0.001833,28,0,11906,2.724000,0.059603153,
1,Balanced,SPEA-II_PC80,203,0.363541,0.022098,0.382630,0.003896,20,0,12050,2.770000,0.058610299,
1,Balanced,SPEA-II_PC80,204,0.354152,0.057015,0.351438,0.005953,34,0,12668,3.152000,0.058556896,
1,Balanced,SPEA-II_PC80,205,0.271901,0.022677,0.448767,0.000858,22,0,12074,2.802000,0.060401310,
1,Balanced,SPEA-II_PC80,206,0.259150,0.023983,0.455333,0.003180,22,0,12279,2.784000,0.060651391,
1,Balanced,SPEA-II_PC80,207,0.367292,0.047461,0.347723,0.003957,36,0,12934,3.148000,0.058352677,
1,Balanced,SPEA-II_PC80,208,0.300093,0.012131,0.430148,0.003703,23,0,11863,2.740000,0.059869406,
1,Balanced,SPEA-II_PC80,209,0.357341,0.044767,0.356053,0.003343,31,0,12816,3.122000,0.058553732,
1,Balanced,SPEA-II_PC80,MEAN,0.322674,0.031901,0.398355,0.003827,,0,12329,2.724000,0.058352677,10
1,Balanced,AMOSA_PC80,200,0.221063,0.048264,0.453137,0.004193,21,0,13327,3.252000,0.061279630,
