CapTier,CapWatts,WaitingTime,Energy
PC85,14945.194,3.272000,0.037467155
PC85,14945.194,3.292000,0.037386190
PC85,14945.194,3.334000,0.037320134
PC85,14945.194,3.380000,0.037221208
PC85,14945.194,3.458000,0.037208942
PC85,14945.194,3.470000,0.037148725
PC85,14945.194,3.496000,0.037111806
PC85,14945.194,3.534000,0.037099719
PC85,14945.194,3.570000,0.037069444
PC85,14945.194,3.576000,0.037003422
PC85,14945.194,3.656000,0.036942212
PC85,14945.194,3.694000,0.036894899
PC85,14945.194,3.780000,0.036846480
PC85,14945.194,3.802000,0.036834906
PC85,14945.194,3.930000,0.036809541
PC85,14945.194,3.938000,0.036720911
PC85,14945.194,4.030000,0.036678312
PC85,14945.194,4.122000,0.036634019
PC85,14945.194,4.246000,0.036581113
PC85,14945.194,4.274000,0.036521972
PC85,14945.194,4.348000,0.036474481
PC85,14945.194,4.404000,0.036461857
PC85,14945.194,4.424000,0.036392895
PC85,14945.194,4.644000,0.036372582
PC85,14945.194,4.738000,0.036327673
PC85,14945.194,5.130000,0.036266828
PC85,14945.194,5.780000,0.036247066
PC85,14945.194,8.490000,0.036141572
PC85,14945.194,8.714000,0.036107543
PC85,14945.194,8.808000,0.036031127
PC85,14945.194,8.868000,0.035821166
PC85,14945.194,8.972000,0.035813498
PC85,14945.194,9.042000,0.035733177
PC85,14945.194,9.118000,0.035710148
PC85,14945.194,9.208000,0.035526383
PC85,14945.194,9.446000,0.035380287
PC85,14945.194,10.050000,0.035185420
PC85,14945.194,10.272000,0.035158403
PC85,14945.194,10.366000,0.035080227
PC85,14945.194,10.396000,0.034935265
PC85,14945.194,10.564000,0.034849217
PC85,14945.194,10.782000,0.034828496
PC85,14945.194,10.940000,0.034777874
PC85,14945.194,11.050000,0.034709858
PC85,14945.194,11.150000,0.034615422
PC85,14945.194,11.414000,0.034596050
PC85,14945.194,11.552000,0.034555584
PC85,14945.194,11.662000,0.034510889
PC85,14945.194,11.786000,0.034405684
PC85,14945.194,11.814000,0.034289964
PC85,14945.194,11.964000,0.034223845
PC85,14945.194,12.158000,0.034168141
PC85,14945.194,12.306000,0.034021430
PC85,14945.194,12.420000,0.033978721
PC85,14945.194,12.430000,0.033865506
PC85,14945.194,12.714000,0.033833368
PC85,14945.194,12.900000,0.033737938
PC85,14945.194,13.084000,0.033684002
PC85,14945.194,13.118000,0.033560782
PC85,14945.194,13.496000,0.033516640
PC85,14945.194,13.700000,0.033452980
PC85,14945.194,13.908000,0.033415426
PC85,14945.194,14.196000,0.033320864
PC85,14945.194,14.322000,0.033281162
PC85,14945.194,14.458000,0.033234089
PC85,14945.194,14.634000,0.033150254
PC85,14945.194,14.866000,0.033061636
PC85,14945.194,15.086000,0.033040729
PC85,14945.194,15.216000,0.033001187
PC85,14945.194,15.282000,0.032919607
PC85,14945.194,15.586000,0.032821092
PC85,14945.194,15.798000,0.032804269
PC85,14945.194,15.944000,0.032768452
PC85,14945.194,16.182000,0.032668846
PC85,14945.194,16.330000,0.032616064
PC85,14945.194,16.428000,0.032478990
PC85,14945.194,16.688000,0.032398524
PC85,14945.194,16.832000,0.032356036
PC85,14945.194,17.016000,0.032321024
PC85,14945.194,17.272000,0.032301765
PC85,14945.194,17.376000,0.032262009
PC85,14945.194,17.674000,0.032236640
PC85,14945.194,17.690000,0.032200322
PC85,14945.194,17.888000,0.032182892
PC85,14945.194,18.092000,0.032175875
PC85,14945.194,18.256000,0.032125939
PC85,14945.194,18.430000,0.032032041
PC85,14945.194,18.596000,0.031956445
PC85,14945.194,18.834000,0.031830491
PC85,14945.194,19.066000,0.031796920
PC85,14945.194,19.192000,0.031647223
PC85,14945.194,19.442000,0.031605141
PC85,14945.194,19.748000,0.031504849
PC85,14945.194,19.936000,0.031455809
PC85,14945.194,20.126000,0.031263947
PC85,14945.194,20.394000,0.031225993
PC85,14945.194,20.614000,0.031135124
PC85,14945.194,20.798000,0.031113451
PC85,14945.194,21.032000,0.031096460
PC85,14945.194,21.340000,0.030994656
PC85,14945.194,21.402000,0.030972490
PC85,14945.194,21.754000,0.030934845
PC85,14945.194,21.828000,0.030901296
PC85,14945.194,22.054000,0.030829926
PC85,14945.194,22.440000,0.030820361
PC85,14945.194,23.054000,0.030795569
PC85,14945.194,23.382000,0.030735720
PC85,14945.194,23.602000,0.030698839
PC85,14945.194,23.944000,0.030677360
PC85,14945.194,24.174000,0.030663765
PC85,14945.194,24.422000,0.030661621
PC85,14945.194,24.732000,0.030642116
PC80,14066.065,1.596000,0.045875851
PC80,14066.065,1.598000,0.045854895
PC80,14066.065,1.600000,0.045775529
PC80,14066.065,1.604000,0.045751698
PC80,14066.065,1.612000,0.045045240
PC80,14066.065,1.614000,0.045024187
PC80,14066.065,1.618000,0.044997594
PC80,14066.065,1.622000,0.044931332
PC80,14066.065,1.628000,0.044849781
PC80,14066.065,1.644000,0.044819006
PC80,14066.065,1.650000,0.044804027
PC80,14066.065,1.714000,0.044731017
PC80,14066.065,1.720000,0.044711383
