Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
NSGA-II_PC90,202,0.464009,0.039811,0.236984,0.003264,37,37,0,11948,0.570392,
NSGA-II_PC90,203,0.421857,0.025674,0.268276,0.003492,25,25,0,12012,0.538453,
NSGA-II_PC90,204,0.549932,0.051083,0.161264,0.006573,50,50,0,12583,0.636892,
NSGA-II_PC90,205,0.522602,0.037823,0.184916,0.007140,34,34,0,12269,0.616759,
NSGA-II_PC90,206,0.563461,0.023151,0.196548,0.003509,44,44,0,12168,0.645208,
NSGA-II_PC90,207,0.408548,0.036612,0.268004,0.002498,36,36,0,11979,0.528189,
NSGA-II_PC90,208,0.487303,0.058790,0.206975,0.003840,39,39,0,12223,0.587897,
NSGA-II_PC90,209,0.439313,0.042011,0.245259,0.002882,37,37,0,11738,0.551949,
NSGA-II_PC90,MEAN,0.491705,0.041428,0.211831,0.004383,41,41,0,12090,0.591911,10
NSGA-II_PC90,STDDEV,0.052786,0.010835,0.037949,0.001801,,,,,0.040421,
SPEA-II_PC90,200,0.460446,0.026463,0.252351,0.002900,32,32,0,12669,0.568879,
SPEA-II_PC90,201,0.461555,0.047571,0.233242,0.002628,47,47,0,12892,0.567430,
SPEA-II_PC90,202,0.428342,0.028635,0.265792,0.001532,37,37,0,12253,0.543388,
SPEA-II_PC90,203,0.449018,0.040920,0.243645,0.002248,45,45,0,12463,0.559840,
SPEA-II_PC90,204,0.453273,0.039426,0.246630,0.001891,42,42,0,12413,0.562513,
SPEA-II_PC90,205,0.513193,0.048922,0.187610,0.004214,45,45,0,13044,0.609079,
SPEA-II_PC90,206,0.389002,0.033582,0.282915,0.001539,39,39,0,12390,0.513747,
SPEA-II_PC90,207,0.404039,0.027181,0.283973,0.003350,30,30,0,12468,0.525373,
SPEA-II_PC90,208,0.491697,0.048523,0.215068,0.002326,53,53,0,12796,0.593476,
SPEA-II_PC90,209,0.493098,0.031095,0.213424,0.003159,43,43,0,13142,0.594292,
SPEA-II_PC90,MEAN,0.454366,0.037232,0.242465,0.002579,41,41,0,12653,0.563802,10
SPEA-II_PC90,STDDEV,0.037357,0.008552,0.029509,0.000808,,,,,0.028837,
AMOSA_PC90,200,0.238138,0.105467,0.362193,0.003035,14,14,0,13038,0.388885,
AMOSA_PC90,201,0.275920,0.071401,0.334817,0.011357,13,13,0,13033,0.418062,
AMOSA_PC90,202,0.292570,0.088979,0.320292,0.007548,18,18,0,13008,0.430243,
AMOSA_PC90,203,0.245562,0.101085,0.358832,0.005583,16,16,0,12986,0.394853,
AMOSA_PC90,204,0.281688,0.083791,0.325175,0.006084,17,17,0,13147,0.423501,
AMOSA_PC90,205,0.258432,0.071399,0.347071,0.005899,15,15,0,13104,0.405479,
AMOSA_PC90,206,0.286413,0.061842,0.328716,0.008576,10,10,0,13123,0.427587,
AMOSA_PC90,207,0.263987,0.090152,0.336124,0.010399,15,15,0,13091,0.409050,
AMOSA_PC90,208,0.266839,0.061826,0.350665,0.007091,12,12,0,12924,0.412135,
AMOSA_PC90,209,0.286745,0.065944,0.330151,0.006939,19,19,0,12953,0.427946,
AMOSA_PC90,MEAN,0.269629,0.080189,0.339404,0.007251,15,15,0,13040,0.413774,10
AMOSA_PC90,STDDEV,0.017383,0.015154,0.013718,0.002291,,,,,0.013591,
GA_WaitingTime_Dominance_PC85,200,0.074066,0.055752,0.474969,0.015437,15,15,0,9983,0.273646,
GA_WaitingTime_Dominance_PC85,201,0.103313,0.113648,0.460588,0.040211,14,14,0,9958,0.293268,
GA_WaitingTime_Dominance_PC85,202,0.051956,0.093978,0.507043,0.023899,11,11,0,9652,0.231155,
GA_WaitingTime_Dominance_PC85,203,0.123463,0.075159,0.435032,0.025763,20,20,0,9969,0.313954,
GA_WaitingTime_Dominance_PC85,204,0.078523,0.050407,0.460353,0.116801,13,13,0,9961,0.277656,
GA_WaitingTime_Dominance_PC85,205,0.074529,0.097649,0.465035,0.020122,10,10,0,9803,0.273786,
GA_WaitingTime_Dominance_PC85,206,0.051820,0.057789,0.514644,0.014865,14,14,0,9961,0.242384,
GA_WaitingTime_Dominance_PC85,207,0.080582,0.079212,0.463448,0.020346,9,9,0,10084,0.279064,
GA_WaitingTime_Dominance_PC85,208,0.036001,0.082518,0.520178,0.017506,10,10,0,10040,0.229106,
GA_WaitingTime_Dominance_PC85,209,0.092995,0.082383,0.460816,0.033090,13,13,0,9976,0.289382,
GA_WaitingTime_Dominance_PC85,MEAN,0.076725,0.078850,0.476211,0.032804,13,13,0,9938,0.270340,10
GA_WaitingTime_Dominance_PC85,STDDEV,0.024654,0.019024,0.026605,0.029005,,,,,0.026382,
GA_Energy_Dominance_PC85,200,0.535138,0.086496,0.176558,0.003890,73,73,1,9140,0.617438,
GA_Energy_Dominance_PC85,201,0.513037,0.101387,0.198280,0.004989,65,65,0,9121,0.600061,
GA_Energy_Dominance_PC85,202,0.542791,0.087328,0.185400,0.002907,75,75,0,9131,0.623126,
GA_Energy_Dominance_PC85,203,0.557531,0.094925,0.185032,0.003015,70,70,11,9635,0.636681,
GA_Energy_Dominance_PC85,204,0.595852,0.106791,0.162881,0.006241,68,68,1,9266,0.670494,
GA_Energy_Dominance_PC85,205,0.511105,0.093557,0.198082,0.003899,64,64,0,9035,0.599415,
GA_Energy_Dominance_PC85,206,0.493803,0.088846,0.211482,0.003298,47,47,0,9094,0.583615,
GA_Energy_Dominance_PC85,207,0.461306,0.100015,0.225768,0.004738,43,44,0,8853,0.556907,
GA_Energy_Dominance_PC85,208,0.498003,0.086397,0.201618,0.004512,76,76,0,9162,0.585851,
GA_Energy_Dominance_PC85,209,0.594226,0.095267,0.160781,0.009117,54,54,0,9360,0.667053,
GA_Energy_Dominance_PC85,MEAN,0.530279,0.094101,0.190588,0.004661,64,64,13,9179,0.614064,10
GA_Energy_Dominance_PC85,STDDEV,0.041360,0.006649,0.019550,0.001769,,,,,0.034638,
SA_WaitingTime_Dominance_PC85,200,0.164309,0.062586,0.419357,0.005943,26,26,0,6812,0.332484,
