Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
SA_WaitingTime_Dominance_PC60,209,0.263040,0.051935,0.384380,0.003002,12,12,0,7133,0.430535
SA_WaitingTime_Dominance_PC60,MEAN,0.263196,0.049423,0.386465,0.005683,12,12,1,7164,0.425783
SA_WaitingTime_Dominance_PC60,STDDEV,0.028392,0.015142,0.009832,0.004979,,,,,0.002804
SA_Energy_Dominance_PC60,200,0.538806,0.208137,0.215144,0.002437,48,48,4,6669,0.641141
SA_Energy_Dominance_PC60,201,0.520412,0.226766,0.211098,0.003597,38,38,0,6656,0.628040
SA_Energy_Dominance_PC60,202,0.541276,0.224410,0.210591,0.004001,78,80,4,6640,0.641510
SA_Energy_Dominance_PC60,203,0.521743,0.236473,0.211799,0.007068,37,37,3,6650,0.627763
SA_Energy_Dominance_PC60,204,0.514808,0.248730,0.225531,0.002718,43,44,0,6484,0.617579
SA_Energy_Dominance_PC60,205,0.508017,0.194012,0.219486,0.007793,37,37,0,6524,0.616719
SA_Energy_Dominance_PC60,206,0.513227,0.229658,0.223839,0.004872,43,43,0,6577,0.619295
SA_Energy_Dominance_PC60,207,0.510989,0.223318,0.226688,0.009487,51,51,0,6710,0.615027
SA_Energy_Dominance_PC60,208,0.534161,0.213786,0.209486,0.004285,67,67,0,6652,0.635489
SA_Energy_Dominance_PC60,209,0.559444,0.181088,0.220810,0.004711,45,45,4,6545,0.652370
SA_Energy_Dominance_PC60,MEAN,0.526289,0.218638,0.217447,0.005097,49,49,15,6610,0.629493
SA_Energy_Dominance_PC60,STDDEV,0.015710,0.019017,0.006285,0.002179,,,,,0.012095
NSGA-II_PC60,200,0.434893,0.036557,0.265455,0.003819,33,33,0,12706,0.564922
NSGA-II_PC60,201,0.414488,0.034581,0.285246,0.003675,37,37,0,12420,0.551830
NSGA-II_PC60,202,0.605200,0.018331,0.163471,0.006008,36,36,8,12668,0.693041
NSGA-II_PC60,203,0.543971,0.020035,0.232154,0.003509,40,40,0,12476,0.645983
NSGA-II_PC60,204,0.481886,0.030481,0.245214,0.002089,41,41,0,11957,0.602715
NSGA-II_PC60,205,0.530089,0.037555,0.206706,0.006374,43,43,0,12553,0.636649
NSGA-II_PC60,206,0.494191,0.020150,0.248016,0.001848,32,32,0,12599,0.608552
NSGA-II_PC60,207,0.476787,0.053433,0.244264,0.001969,52,52,0,12294,0.598427
NSGA-II_PC60,208,0.430358,0.027314,0.277141,0.007645,33,33,0,11931,0.564172
NSGA-II_PC60,209,0.541460,0.062199,0.189952,0.003428,51,51,0,12470,0.643124
NSGA-II_PC60,MEAN,0.495332,0.034063,0.235762,0.004036,40,40,8,12407,0.610941
NSGA-II_PC60,STDDEV,0.057192,0.013718,0.036792,0.001899,,,,,0.042065
SPEA-II_PC60,200,0.407756,0.037147,0.283146,0.004624,33,33,0,13239,0.545296
SPEA-II_PC60,201,0.390162,0.029376,0.306677,0.002476,28,28,0,13168,0.533097
SPEA-II_PC60,202,0.414578,0.000158,0.303578,0.005284,23,23,22,12339,0.555132
SPEA-II_PC60,203,0.544266,0.026688,0.204768,0.005441,44,44,0,13440,0.647722
SPEA-II_PC60,204,0.438685,0.032404,0.271654,0.003160,36,36,0,13318,0.570698
SPEA-II_PC60,205,0.569976,0.030874,0.190781,0.007105,40,40,0,13396,0.668028
SPEA-II_PC60,206,0.537760,0.034551,0.207049,0.002357,53,53,0,13374,0.644108
SPEA-II_PC60,207,0.458808,0.049680,0.258149,0.002260,44,44,0,13493,0.583650
SPEA-II_PC60,208,0.470938,0.029631,0.246087,0.002376,32,32,0,13312,0.592002
