Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best,ScoredSeeds
3,CPU_Stress,SA_Makespan_Dominance,203,0.346581,0.048105,0.426759,0.221044,3,0,2010,12.460000,0.039388225,
3,CPU_Stress,SA_Makespan_Dominance,204,0.341836,0.088474,0.432645,0.204568,3,1,1968,15.386667,0.039512774,
3,CPU_Stress,SA_Makespan_Dominance,205,0.395381,0.027301,0.397391,0.006514,10,8,1840,14.456667,0.038744345,
3,CPU_Stress,SA_Makespan_Dominance,206,0.415713,0.088849,0.390757,0.280803,3,1,2132,14.386667,0.038167803,
3,CPU_Stress,SA_Makespan_Dominance,207,0.364408,0.090432,0.420461,0.214483,3,0,1958,14.386667,0.039216176,
3,CPU_Stress,SA_Makespan_Dominance,208,0.145455,0.000000,0.540153,0.000000,1,1,1949,12.680000,0.040873337,
3,CPU_Stress,SA_Makespan_Dominance,209,0.334072,0.044258,0.440193,0.194369,3,2,1947,14.386667,0.039675323,
3,CPU_Stress,SA_Makespan_Dominance,MEAN,0.354443,0.052043,0.424615,0.160698,,20,1950,12.460000,0.037748438,10
3,CPU_Stress,SA_Energy_Dominance,200,0.366744,0.132070,0.314723,0.147088,6,0,2039,17.000000,0.036107495,
3,CPU_Stress,SA_Energy_Dominance,201,0.441501,0.056368,0.315302,0.152217,7,4,2148,17.000000,0.036051050,
3,CPU_Stress,SA_Energy_Dominance,202,0.425861,0.116169,0.303387,0.074240,9,0,2021,17.000000,0.035775283,
3,CPU_Stress,SA_Energy_Dominance,203,0.397281,0.103862,0.289290,0.119130,15,1,2214,17.000000,0.035195137,
3,CPU_Stress,SA_Energy_Dominance,204,0.434611,0.042828,0.313403,0.169617,8,0,2130,17.000000,0.036087408,
3,CPU_Stress,SA_Energy_Dominance,205,0.400181,0.084314,0.325971,0.085116,7,0,2139,17.000000,0.036615731,
3,CPU_Stress,SA_Energy_Dominance,206,0.418303,0.053627,0.318537,0.123182,9,0,1867,17.000000,0.036430995,
3,CPU_Stress,SA_Energy_Dominance,207,0.429322,0.105018,0.296954,0.101205,13,1,2090,17.000000,0.035383965,
3,CPU_Stress,SA_Energy_Dominance,208,0.435050,0.046327,0.312416,0.177496,8,0,2037,17.000000,0.036055763,
3,CPU_Stress,SA_Energy_Dominance,209,0.436226,0.124744,0.302245,0.055622,11,2,2170,17.000000,0.035673238,
3,CPU_Stress,SA_Energy_Dominance,MEAN,0.418508,0.086533,0.309223,0.120491,,8,2085,17.000000,0.035195137,10
3,CPU_Stress,NSGA-II,200,0.474204,0.085467,0.219568,0.006576,49,0,7012,13.386667,0.036398787,
3,CPU_Stress,NSGA-II,201,0.475488,0.070887,0.232153,0.013017,51,0,7427,14.386667,0.036705295,
3,CPU_Stress,NSGA-II,202,0.469171,0.084975,0.233479,0.017192,40,0,7127,14.386667,0.036641275,
3,CPU_Stress,NSGA-II,203,0.488991,0.085040,0.202751,0.017633,50,0,6745,12.460000,0.036181992,
3,CPU_Stress,NSGA-II,204,0.475784,0.097414,0.207045,0.009027,36,0,7044,13.386667,0.036064718,
3,CPU_Stress,NSGA-II,205,0.468782,0.069856,0.243934,0.014633,43,0,7421,15.386667,0.036840267,
3,CPU_Stress,NSGA-II,206,0.466400,0.078080,0.243391,0.014765,45,0,7220,14.386667,0.036759248,
3,CPU_Stress,NSGA-II,207,0.486589,0.079505,0.200787,0.021447,41,0,7300,15.386667,0.036299941,
3,CPU_Stress,NSGA-II,208,0.468378,0.092226,0.233204,0.015132,48,0,7174,14.386667,0.036506070,
3,CPU_Stress,NSGA-II,209,0.457302,0.070008,0.256770,0.009659,38,0,6862,13.386667,0.037057728,
3,CPU_Stress,NSGA-II,MEAN,0.473109,0.081346,0.227308,0.013908,,0,7133,12.460000,0.036064718,10
3,CPU_Stress,SPEA-II,200,0.424585,0.053030,0.308643,0.025603,30,1,7579,12.460000,0.037665447,
3,CPU_Stress,SPEA-II,201,0.419896,0.087200,0.303268,0.007623,33,0,7653,12.220000,0.037284511,
3,CPU_Stress,SPEA-II,202,0.466078,0.085627,0.231985,0.021350,36,0,8074,12.425000,0.036542948,
3,CPU_Stress,SPEA-II,203,0.392900,0.064314,0.318651,0.005761,35,0,8012,12.220000,0.038130264,
3,CPU_Stress,SPEA-II,204,0.363450,0.072240,0.348773,0.006055,27,0,7328,13.425000,0.038552107,
3,CPU_Stress,SPEA-II,205,0.434720,0.068974,0.284613,0.009925,31,0,7948,12.973333,0.037404400,
3,CPU_Stress,SPEA-II,206,0.420653,0.068043,0.304342,0.006881,33,0,8141,13.020000,0.037599197,
3,CPU_Stress,SPEA-II,207,0.429992,0.082126,0.266765,0.008313,44,0,7888,12.745000,0.037108681,
3,CPU_Stress,SPEA-II,208,0.447065,0.052842,0.273738,0.009835,36,0,7699,12.405000,0.037130668,
3,CPU_Stress,SPEA-II,209,0.395811,0.055549,0.320653,0.030848,30,0,7449,12.460000,0.038231759,
3,CPU_Stress,SPEA-II,MEAN,0.419515,0.068994,0.296143,0.013220,,1,7777,12.220000,0.036542948,10
3,CPU_Stress,AMOSA,200,0.271200,0.065892,0.380075,0.011902,11,0,5656,11.950000,0.039051698,
3,CPU_Stress,AMOSA,201,0.259189,0.052337,0.388075,0.011188,11,0,5600,12.625000,0.038973487,
3,CPU_Stress,AMOSA,202,0.282180,0.092174,0.359818,0.011941,14,0,5514,12.405000,0.039036374,
3,CPU_Stress,AMOSA,203,0.277962,0.074257,0.370378,0.008389,15,0,5369,13.220000,0.038948427,
3,CPU_Stress,AMOSA,204,0.233409,0.060500,0.409009,0.051862,8,0,4920,12.425000,0.039585428,
3,CPU_Stress,AMOSA,205,0.299957,0.086520,0.328966,0.038018,12,0,5609,12.300000,0.038218115,
